time,"P(B1|X1)","P(B1|X2)","P(B2|X2)","P(B1|X3)","P(B2|X3)","P(B1|X4)","P(B2|X4)","P(B1|X5)","P(B2|X5)","P(B5|X9)","P(B1|X9)","P(B1|X6)","P(B1|X7)","P(B2|X7)","P(B1|X8)","P(B2|X8)","P(B2|X9)","P(B3|X9)","P(B4|X9)","P(B6|X9)","P(B1|X10)","P(B2|X10)","P(B1|X11)","P(B2|X11)","P(B1|X12)"
2.000000e-12,1.961589e-02,2.150009e-02,2.175558e-02,2.165206e-02,2.173962e-02,2.170698e-02,2.174320e-02,2.172003e-02,2.225738e-02,1.974716e-02,-1.710483e-03,1.961591e-02,2.150044e-02,2.175992e-02,2.171068e-02,2.232551e-02,2.095459e-02,2.025850e-02,1.099667e-02,1.844743e-02,2.246164e-02,2.185209e-02,2.165311e-02,2.165883e-02,2.009133e-02
2.200000e-12,2.536807e-02,2.805224e-02,2.841190e-02,2.828589e-02,2.839564e-02,2.835501e-02,2.840188e-02,2.837811e-02,2.903282e-02,2.568381e-02,-2.444368e-03,2.536811e-02,2.805281e-02,2.841850e-02,2.836833e-02,2.914392e-02,2.728642e-02,2.531427e-02,1.437291e-02,2.404653e-02,2.929431e-02,2.854810e-02,2.828636e-02,2.826596e-02,2.611237e-02
2.400000e-12,3.173214e-02,3.541787e-02,3.591054e-02,3.576403e-02,3.589698e-02,3.584831e-02,3.590694e-02,3.588451e-02,3.664867e-02,3.233548e-02,-3.356216e-03,3.173220e-02,3.541875e-02,3.592021e-02,3.587562e-02,3.681737e-02,3.438066e-02,3.076078e-02,1.825453e-02,3.033538e-02,3.697100e-02,3.609599e-02,3.576310e-02,3.569894e-02,3.284531e-02
2.600000e-12,3.857510e-02,4.347328e-02,4.413237e-02,4.396948e-02,4.412594e-02,4.406959e-02,4.414082e-02,4.412157e-02,4.497896e-02,3.959354e-02,-4.448373e-03,3.857520e-02,4.347460e-02,4.414606e-02,4.411538e-02,4.522088e-02,4.211050e-02,3.650561e-02,2.260905e-02,3.721038e-02,4.536341e-02,4.437700e-02,4.396582e-02,4.383626e-02,4.017551e-02
2.800000e-12,4.574925e-02,5.207007e-02,5.293337e-02,5.276039e-02,5.294013e-02,5.287681e-02,5.296124e-02,5.294647e-02,5.387344e-02,4.733223e-02,-5.712846e-03,4.574940e-02,5.207200e-02,5.295214e-02,5.294523e-02,5.420419e-02,5.032635e-02,4.245571e-02,2.738264e-02,4.454895e-02,5.431887e-02,5.324706e-02,5.275213e-02,5.253222e-02,4.797184e-02
3.000000e-12,5.310304e-02,6.104491e-02,6.215409e-02,6.197945e-02,6.218185e-02,6.211260e-02,6.221054e-02,6.220060e-02,6.316771e-02,5.541726e-02,-7.131046e-03,5.310326e-02,6.104763e-02,6.217911e-02,6.220687e-02,6.360173e-02,5.886617e-02,4.852180e-02,3.250153e-02,5.221777e-02,6.367067e-02,6.254630e-02,6.196406e-02,6.162664e-02,5.609630e-02
3.200000e-12,6.049123e-02,7.022954e-02,7.162925e-02,7.146331e-02,7.168761e-02,7.161369e-02,7.172520e-02,7.171907e-02,7.269344e-02,6.371385e-02,-8.674622e-03,6.049156e-02,7.023328e-02,7.166168e-02,7.173556e-02,7.324263e-02,6.756597e-02,5.462173e-02,3.787530e-02,6.008099e-02,7.324842e-02,7.210857e-02,7.143757e-02,7.095479e-02,6.441293e-02
3.400000e-12,6.778367e-02,7.946031e-02,8.119684e-02,8.105162e-02,8.129717e-02,8.121994e-02,8.134486e-02,8.133989e-02,8.228792e-02,7.209352e-02,-1.030734e-02,6.778413e-02,7.946533e-02,8.123781e-02,8.136917e-02,8.296037e-02,7.626954e-02,6.068291e-02,4.340175e-02,6.800761e-02,8.288771e-02,8.177070e-02,8.101160e-02,8.035670e-02,7.279568e-02
3.600000e-12,7.487217e-02,8.858680e-02,9.070633e-02,9.059513e-02,9.086161e-02,9.078247e-02,9.092039e-02,9.091219e-02,9.180248e-02,8.043962e-02,-1.198783e-02,7.487281e-02,8.859337e-02,9.075686e-02,9.095641e-02,9.260125e-02,8.483698e-02,6.664386e-02,4.897300e-02,7.587789e-02,9.243857e-02,9.138080e-02,9.053625e-02,8.968560e-02,8.113454e-02
3.800000e-12,8.167515e-02,9.747898e-02,1.000255e-01,9.996241e-02,1.002501e-01,1.001703e-01,1.003207e-01,1.003031e-01,1.011093e-01,8.865132e-02,-1.367290e-02,8.167602e-02,9.748739e-02,1.000864e-01,1.003637e-01,1.020315e-01,9.315142e-02,7.245489e-02,5.448235e-02,8.358840e-02,1.017724e-01,1.008052e-01,9.987964e-02,9.881472e-02,8.934003e-02
4.000000e-12,8.813997e-02,1.060327e-01,1.090459e-01,1.090451e-01,1.093550e-01,1.092757e-01,1.094377e-01,1.094033e-01,1.101063e-01,9.664616e-02,-1.532101e-02,8.814112e-02,1.060432e-01,1.091176e-01,1.094804e-01,1.111426e-01,1.011237e-01,7.807829e-02,5.983124e-02,9.105554e-02,1.107867e-01,1.099338e-01,1.089331e-01,1.076425e-01,9.734571e-02
4.200000e-12,9.424307e-02,1.141732e-01,1.176859e-01,1.177614e-01,1.180952e-01,1.180174e-01,1.181900e-01,1.181303e-01,1.187202e-01,1.043613e-01,-1.689569e-02,9.424456e-02,1.141861e-01,1.177685e-01,1.182228e-01,1.198547e-01,1.086950e-01,8.348795e-02,6.493564e-02,9.821775e-02,1.194085e-01,1.186840e-01,1.176150e-01,1.160958e-01,1.051088e-01
4.400000e-12,9.998804e-02,1.218568e-01,1.258930e-01,1.260576e-01,1.264179e-01,1.263422e-01,1.265243e-01,1.264306e-01,1.269077e-01,1.117536e-01,-1.836826e-02,9.998993e-02,1.218723e-01,1.259861e-01,1.265356e-01,1.281185e-01,1.158369e-01,8.866875e-02,6.973126e-02,1.050361e-01,1.275948e-01,1.270019e-01,1.258720e-01,1.241312e-01,1.126096e-01
4.600000e-12,1.054021e-01,1.290706e-01,1.336434e-01,1.339084e-01,1.342986e-01,1.342254e-01,1.344158e-01,1.342796e-01,1.346543e-01,1.187992e-01,-1.971987e-02,1.054045e-01,1.290889e-01,1.337461e-01,1.343923e-01,1.359146e-01,1.225501e-01,9.361570e-02,7.417714e-02,1.114939e-01,1.353322e-01,1.348631e-01,1.336799e-01,1.317347e-01,1.198488e-01
4.800000e-12,1.105315e-01,1.358305e-01,1.409409e-01,1.413153e-01,1.417393e-01,1.416687e-01,1.418660e-01,1.416801e-01,1.419724e-01,1.254921e-01,-2.094246e-02,1.105344e-01,1.358516e-01,1.410518e-01,1.417937e-01,1.432519e-01,1.288613e-01,9.833298e-02,7.825730e-02,1.175950e-01,1.426342e-01,1.422710e-01,1.410414e-01,1.389194e-01,1.268447e-01
5.000000e-12,1.154357e-01,1.421777e-01,1.478138e-01,1.483039e-01,1.487659e-01,1.486978e-01,1.489006e-01,1.486597e-01,1.488971e-01,1.318425e-01,-2.203870e-02,1.154391e-01,1.422015e-01,1.479309e-01,1.487656e-01,1.501641e-01,1.348180e-01,1.028330e-01,8.198040e-02,1.233612e-01,1.495379e-01,1.492535e-01,1.479840e-01,1.457221e-01,1.336291e-01
5.200000e-12,1.201821e-01,1.481740e-01,1.543112e-01,1.549199e-01,1.554242e-01,1.553585e-01,1.555654e-01,1.552667e-01,1.554821e-01,1.378750e-01,-2.302091e-02,1.201862e-01,1.482003e-01,1.544321e-01,1.553546e-01,1.567060e-01,1.404841e-01,1.071354e-01,8.537744e-02,1.288298e-01,1.560986e-01,1.558599e-01,1.545559e-01,1.521987e-01,1.402436e-01
5.400000e-12,1.248402e-01,1.538963e-01,1.604984e-01,1.612251e-01,1.617758e-01,1.617122e-01,1.619217e-01,1.615656e-01,1.617941e-01,1.436265e-01,-2.390919e-02,1.248449e-01,1.539249e-01,1.606202e-01,1.616242e-01,1.629477e-01,1.459331e-01,1.112657e-01,8.849790e-02,1.340496e-01,1.623857e-01,1.621555e-01,1.608214e-01,1.584191e-01,1.467349e-01
5.600000e-12,1.294767e-01,1.594311e-01,1.664517e-01,1.672922e-01,1.678927e-01,1.678308e-01,1.680421e-01,1.676316e-01,1.679080e-01,1.491435e-01,-2.472897e-02,1.294821e-01,1.594615e-01,1.665716e-01,1.676491e-01,1.689697e-01,1.512433e-01,1.152547e-01,9.140472e-02,1.390774e-01,1.684763e-01,1.682169e-01,1.668560e-01,1.644617e-01,1.531515e-01
5.800000e-12,1.341515e-01,1.648683e-01,1.722536e-01,1.731998e-01,1.738529e-01,1.737924e-01,1.740045e-01,1.735462e-01,1.739014e-01,1.544804e-01,-2.550821e-02,1.341575e-01,1.648998e-01,1.723685e-01,1.735109e-01,1.748575e-01,1.564920e-01,1.191367e-01,9.416864e-02,1.439748e-01,1.744506e-01,1.741267e-01,1.727413e-01,1.704079e-01,1.595404e-01
6.000000e-12,1.389141e-01,1.702955e-01,1.779877e-01,1.790279e-01,1.797351e-01,1.796757e-01,1.798884e-01,1.793913e-01,1.798500e-01,1.596964e-01,-2.627478e-02,1.389207e-01,1.703274e-01,1.780946e-01,1.792925e-01,1.806959e-01,1.617508e-01,1.229488e-01,9.686245e-02,1.488042e-01,1.803869e-01,1.799682e-01,1.785598e-01,1.763371e-01,1.659439e-01
6.200000e-12,1.438023e-01,1.757934e-01,1.837339e-01,1.848533e-01,1.856150e-01,1.855566e-01,1.857699e-01,1.852451e-01,1.858236e-01,1.648530e-01,-2.705395e-02,1.438093e-01,1.758249e-01,1.838302e-01,1.850741e-01,1.865648e-01,1.670824e-01,1.267288e-01,9.955572e-02,1.536263e-01,1.863576e-01,1.858212e-01,1.843906e-01,1.823220e-01,1.723985e-01
6.400000e-12,1.488404e-01,1.814312e-01,1.895646e-01,1.907460e-01,1.915611e-01,1.915035e-01,1.917182e-01,1.911781e-01,1.918832e-01,1.700113e-01,-2.786660e-02,1.488478e-01,1.814615e-01,1.896483e-01,1.909288e-01,1.925350e-01,1.725373e-01,1.305144e-01,1.023102e-01,1.584965e-01,1.924256e-01,1.917575e-01,1.903055e-01,1.884252e-01,1.789329e-01
6.600000e-12,1.540403e-01,1.872641e-01,1.955417e-01,1.967659e-01,1.976321e-01,1.975753e-01,1.977928e-01,1.972498e-01,1.980783e-01,1.752292e-01,-2.872792e-02,1.540478e-01,1.872922e-01,1.956114e-01,1.969195e-01,1.986653e-01,1.781531e-01,1.343415e-01,1.051768e-01,1.634632e-01,1.986420e-01,1.978381e-01,1.963652e-01,1.946966e-01,1.855679e-01
6.800000e-12,1.594015e-01,1.933307e-01,2.017139e-01,2.029612e-01,2.038747e-01,2.038187e-01,2.040408e-01,2.035068e-01,2.044458e-01,1.805588e-01,-2.964696e-02,1.594090e-01,1.933559e-01,2.017691e-01,2.030967e-01,2.050003e-01,1.839531e-01,1.382423e-01,1.081932e-01,1.685661e-01,2.050449e-01,2.041107e-01,2.026178e-01,2.011715e-01,1.923161e-01
7.000000e-12,1.649137e-01,1.996527e-01,2.081154e-01,2.093663e-01,2.103223e-01,2.102671e-01,2.104963e-01,2.099812e-01,2.110097e-01,1.860440e-01,-3.062672e-02,1.649210e-01,1.996741e-01,2.081565e-01,2.094968e-01,2.115691e-01,1.899478e-01,1.422448e-01,1.113831e-01,1.738343e-01,2.116584e-01,2.106086e-01,2.090967e-01,2.078703e-01,1.991828e-01
7.200000e-12,1.705584e-01,2.062349e-01,2.147653e-01,2.160019e-01,2.169947e-01,2.169403e-01,2.171793e-01,2.166904e-01,2.177814e-01,1.917186e-01,-3.166497e-02,1.705652e-01,2.062521e-01,2.147937e-01,2.161413e-01,2.183857e-01,1.961353e-01,1.463707e-01,1.147571e-01,1.792864e-01,2.184931e-01,2.173498e-01,2.158205e-01,2.147989e-01,2.061665e-01
7.400000e-12,1.763115e-01,2.130666e-01,2.216683e-01,2.228751e-01,2.238985e-01,2.238447e-01,2.240965e-01,2.236377e-01,2.247604e-01,1.976046e-01,-3.275534e-02,1.763176e-01,2.130792e-01,2.216862e-01,2.230375e-01,2.254492e-01,2.025037e-01,1.506352e-01,1.183137e-01,1.849301e-01,2.255472e-01,2.243383e-01,2.227931e-01,2.219494e-01,2.132605e-01
7.600000e-12,1.821455e-01,2.201238e-01,2.288151e-01,2.299805e-01,2.310278e-01,2.309745e-01,2.312420e-01,2.308135e-01,2.319365e-01,2.037119e-01,-3.388871e-02,1.821508e-01,2.201318e-01,2.288258e-01,2.301790e-01,2.327457e-01,2.090330e-01,1.550462e-01,1.220413e-01,1.907626e-01,2.328079e-01,2.315644e-01,2.300051e-01,2.293029e-01,2.204536e-01
7.800000e-12,1.880325e-01,2.273718e-01,2.361848e-01,2.373013e-01,2.383662e-01,2.383130e-01,2.385991e-01,2.381973e-01,2.392909e-01,2.100376e-01,-3.505462e-02,1.880368e-01,2.273754e-01,2.361921e-01,2.375476e-01,2.402503e-01,2.156977e-01,1.596038e-01,1.259211e-01,1.967721e-01,2.402536e-01,2.390071e-01,2.374352e-01,2.368310e-01,2.277320e-01
8.000000e-12,1.939455e-01,2.347686e-01,2.437467e-01,2.448121e-01,2.458888e-01,2.458352e-01,2.461420e-01,2.457598e-01,2.467988e-01,2.165674e-01,-3.624258e-02,1.939485e-01,2.347683e-01,2.437548e-01,2.451152e-01,2.479296e-01,2.224691e-01,1.643012e-01,1.299288e-01,2.029384e-01,2.478557e-01,2.466362e-01,2.450529e-01,2.444990e-01,2.350800e-01
8.200000e-12,1.998602e-01,2.422679e-01,2.514628e-01,2.524802e-01,2.535640e-01,2.535093e-01,2.538385e-01,2.534656e-01,2.544314e-01,2.232765e-01,-3.744307e-02,1.998619e-01,2.422644e-01,2.514764e-01,2.528464e-01,2.557446e-01,2.293175e-01,1.691247e-01,1.340379e-01,2.092354e-01,2.555815e-01,2.544152e-01,2.528204e-01,2.522686e-01,2.424815e-01
8.400000e-12,2.057565e-01,2.498224e-01,2.592910e-01,2.602689e-01,2.613561e-01,2.612997e-01,2.616518e-01,2.612761e-01,2.621574e-01,2.301319e-01,-3.864821e-02,2.057570e-01,2.498168e-01,2.593145e-01,2.607008e-01,2.636533e-01,2.362138e-01,1.740551e-01,1.382210e-01,2.156327e-01,2.633960e-01,2.623034e-01,2.606963e-01,2.601006e-01,2.499207e-01
8.600000e-12,2.116189e-01,2.573870e-01,2.671872e-01,2.681392e-01,2.692278e-01,2.691687e-01,2.695435e-01,2.691515e-01,2.699455e-01,2.370950e-01,-3.985214e-02,2.116182e-01,2.573807e-01,2.672248e-01,2.686359e-01,2.716136e-01,2.431316e-01,1.790688e-01,1.424515e-01,2.220976e-01,2.712642e-01,2.702589e-01,2.686373e-01,2.679574e-01,2.573832e-01
8.800000e-12,2.174369e-01,2.649213e-01,2.751085e-01,2.760524e-01,2.771421e-01,2.770794e-01,2.774755e-01,2.770536e-01,2.777657e-01,2.441240e-01,-4.105100e-02,2.174351e-01,2.649158e-01,2.751636e-01,2.766093e-01,2.795858e-01,2.500476e-01,1.841395e-01,1.467050e-01,2.285971e-01,2.791529e-01,2.782413e-01,2.766015e-01,2.758047e-01,2.648559e-01
9.000000e-12,2.232049e-01,2.723916e-01,2.830149e-01,2.839720e-01,2.850643e-01,2.849970e-01,2.854122e-01,2.849478e-01,2.855903e-01,2.511770e-01,-4.224264e-02,2.232024e-01,2.723883e-01,2.830903e-01,2.845815e-01,2.875345e-01,2.569429e-01,1.892395e-01,1.509594e-01,2.350999e-01,2.870323e-01,2.862132e-01,2.845502e-01,2.836139e-01,2.723281e-01
9.200000e-12,2.289218e-01,2.797722e-01,2.908718e-01,2.918653e-01,2.929635e-01,2.928909e-01,2.933219e-01,2.928045e-01,2.933954e-01,2.582150e-01,-4.342622e-02,2.289187e-01,2.797726e-01,2.909690e-01,2.925170e-01,2.954300e-01,2.638029e-01,1.943418e-01,1.551959e-01,2.415779e-01,2.948770e-01,2.941425e-01,2.924502e-01,2.913623e-01,2.797913e-01
9.400000e-12,2.345900e-01,2.870463e-01,2.986511e-01,2.997052e-01,3.008140e-01,3.007354e-01,3.011784e-01,3.006003e-01,3.011613e-01,2.652033e-01,-4.460166e-02,2.345867e-01,2.870517e-01,2.987705e-01,3.003863e-01,3.032498e-01,2.706175e-01,1.994213e-01,1.593985e-01,2.480074e-01,3.026671e-01,3.020033e-01,3.002746e-01,2.990347e-01,2.872392e-01
9.600000e-12,2.402150e-01,2.942061e-01,3.063324e-01,3.074703e-01,3.085960e-01,3.085109e-01,3.089618e-01,3.083186e-01,3.088727e-01,2.721144e-01,-4.576920e-02,2.402120e-01,2.942178e-01,3.064731e-01,3.081673e-01,3.109790e-01,2.773805e-01,2.044562e-01,1.635544e-01,2.543702e-01,3.103882e-01,3.097771e-01,3.080045e-01,3.066227e-01,2.946680e-01
9.800000e-12,2.458043e-01,3.012522e-01,3.139033e-01,3.151463e-01,3.162962e-01,3.162044e-01,3.166589e-01,3.159499e-01,3.165194e-01,2.789283e-01,-4.692896e-02,2.458021e-01,3.012711e-01,3.140633e-01,3.158448e-01,3.186100e-01,2.840896e-01,2.094290e-01,1.676535e-01,2.606542e-01,3.180317e-01,3.174527e-01,3.156286e-01,3.141248e-01,3.020758e-01
1.000000e-11,2.513669e-01,3.081930e-01,3.213597e-01,3.227255e-01,3.239075e-01,3.238091e-01,3.242631e-01,3.234912e-01,3.240959e-01,2.856340e-01,-4.808076e-02,2.513658e-01,3.082196e-01,3.215359e-01,3.234120e-01,3.261428e-01,2.907458e-01,2.143274e-01,1.716885e-01,2.668532e-01,3.255947e-01,3.250263e-01,3.231440e-01,3.215454e-01,3.094626e-01
1.020000e-11,2.569118e-01,3.150432e-01,3.287051e-01,3.302068e-01,3.314291e-01,3.313245e-01,3.317745e-01,3.309459e-01,3.316011e-01,2.922283e-01,-4.922405e-02,2.569122e-01,3.150775e-01,3.288933e-01,3.308691e-01,3.335834e-01,2.973523e-01,2.191445e-01,1.756553e-01,2.729668e-01,3.330793e-01,3.325008e-01,3.305547e-01,3.288944e-01,3.168304e-01
1.040000e-11,2.624482e-01,3.218220e-01,3.359497e-01,3.375952e-01,3.388656e-01,3.387557e-01,3.391991e-01,3.383226e-01,3.390381e-01,2.987162e-01,-5.035799e-02,2.624505e-01,3.218638e-01,3.361452e-01,3.382232e-01,3.409434e-01,3.039146e-01,2.238788e-01,1.795522e-01,2.789999e-01,3.404922e-01,3.398854e-01,3.378714e-01,3.361853e-01,3.241821e-01
1.060000e-11,2.679843e-01,3.285518e-01,3.431095e-01,3.449008e-01,3.462266e-01,3.461124e-01,3.465477e-01,3.456339e-01,3.464135e-01,3.051092e-01,-5.148171e-02,2.679887e-01,3.286003e-01,3.433072e-01,3.454873e-01,3.482385e-01,3.104393e-01,2.285339e-01,1.833809e-01,2.849618e-01,3.478437e-01,3.471939e-01,3.451103e-01,3.434346e-01,3.315219e-01
1.080000e-11,2.735273e-01,3.352563e-01,3.502048e-01,3.521381e-01,3.535252e-01,3.534082e-01,3.538351e-01,3.528957e-01,3.537372e-01,3.114239e-01,-5.259460e-02,2.735341e-01,3.353103e-01,3.503995e-01,3.526790e-01,3.554872e-01,3.169343e-01,2.331180e-01,1.871459e-01,2.908652e-01,3.551468e-01,3.544441e-01,3.522912e-01,3.506600e-01,3.388549e-01
1.100000e-11,2.790832e-01,3.419591e-01,3.572586e-01,3.593246e-01,3.607777e-01,3.606595e-01,3.610791e-01,3.601253e-01,3.610209e-01,3.176803e-01,-5.369661e-02,2.790923e-01,3.420170e-01,3.574453e-01,3.598192e-01,3.627092e-01,3.234078e-01,2.376428e-01,1.908547e-01,2.967254e-01,3.624166e-01,3.616558e-01,3.594366e-01,3.578797e-01,3.461867e-01
1.120000e-11,2.846566e-01,3.486818e-01,3.642953e-01,3.664800e-01,3.680017e-01,3.678842e-01,3.682986e-01,3.673411e-01,3.682785e-01,3.239005e-01,-5.478849e-02,2.846680e-01,3.487419e-01,3.644696e-01,3.669309e-01,3.699246e-01,3.298686e-01,2.421228e-01,1.945176e-01,3.025585e-01,3.696691e-01,3.688502e-01,3.665700e-01,3.651111e-01,3.535230e-01
1.140000e-11,2.902509e-01,3.554436e-01,3.713390e-01,3.736246e-01,3.752158e-01,3.751010e-01,3.755135e-01,3.745607e-01,3.755245e-01,3.301067e-01,-5.587193e-02,2.902644e-01,3.555039e-01,3.714975e-01,3.740373e-01,3.771524e-01,3.363251e-01,2.465739e-01,1.981472e-01,3.083813e-01,3.769204e-01,3.760482e-01,3.737142e-01,3.723699e-01,3.608699e-01
1.160000e-11,2.958683e-01,3.622598e-01,3.784124e-01,3.807786e-01,3.824382e-01,3.823279e-01,3.827428e-01,3.818006e-01,3.827738e-01,3.363198e-01,-5.694960e-02,2.958834e-01,3.623185e-01,3.785525e-01,3.811614e-01,3.844098e-01,3.427858e-01,2.510129e-01,2.017579e-01,3.142097e-01,3.841862e-01,3.832695e-01,3.808907e-01,3.796694e-01,3.682329e-01
1.180000e-11,3.015097e-01,3.691420e-01,3.855353e-01,3.879609e-01,3.896859e-01,3.895819e-01,3.900038e-01,3.890754e-01,3.900407e-01,3.425587e-01,-5.802499e-02,3.015260e-01,3.691970e-01,3.856560e-01,3.883240e-01,3.917114e-01,3.492589e-01,2.554556e-01,2.053653e-01,3.200580e-01,3.914807e-01,3.905319e-01,3.881180e-01,3.870204e-01,3.756175e-01
1.200000e-11,3.071756e-01,3.760973e-01,3.927244e-01,3.951885e-01,3.969741e-01,3.968779e-01,3.973119e-01,3.963972e-01,3.973387e-01,3.488390e-01,-5.910217e-02,3.071926e-01,3.761468e-01,3.928256e-01,3.955433e-01,3.990687e-01,3.557518e-01,2.599170e-01,2.089849e-01,3.259388e-01,3.988166e-01,3.978501e-01,3.954114e-01,3.944308e-01,3.830285e-01
1.220000e-11,3.128657e-01,3.831285e-01,3.999921e-01,4.024755e-01,4.043158e-01,4.042287e-01,4.046793e-01,4.037755e-01,4.046796e-01,3.551731e-01,-6.018542e-02,3.128826e-01,3.831713e-01,4.000752e-01,4.028340e-01,4.064901e-01,3.622715e-01,2.644098e-01,2.126315e-01,3.318621e-01,4.062042e-01,4.052358e-01,4.027820e-01,4.019052e-01,3.904703e-01
1.240000e-11,3.185791e-01,3.902349e-01,4.073462e-01,4.098331e-01,4.117211e-01,4.116437e-01,4.121154e-01,4.112167e-01,4.120734e-01,3.615695e-01,-6.127886e-02,3.185954e-01,3.902699e-01,4.074139e-01,4.102068e-01,4.139807e-01,3.688243e-01,2.689441e-01,2.163182e-01,3.378353e-01,4.136516e-01,4.126970e-01,4.102369e-01,4.094458e-01,3.979461e-01
1.260000e-11,3.243149e-01,3.974124e-01,4.147906e-01,4.172692e-01,4.191972e-01,4.191299e-01,4.196259e-01,4.187248e-01,4.195278e-01,3.680332e-01,-6.238599e-02,3.243298e-01,3.974392e-01,4.148463e-01,4.176683e-01,4.215425e-01,3.754152e-01,2.735274e-01,2.200555e-01,3.438632e-01,4.211642e-01,4.202382e-01,4.177791e-01,4.170520e-01,4.054589e-01
